title,inception,movement,genre,image_url
Altarpiece of Santo Domingo de Silos,1476-01-01T00:00:00Z,Renaissance,religious art,http://commons.wikimedia.org/wiki/Special:FilePath/B.Bermejo%20ret.St.Domingo%20Silos%20hipotesi%204130.jpg
Death of Santo Domingo de Silos,1479-01-01T00:00:00Z,Renaissance,religious art,http://commons.wikimedia.org/wiki/Special:FilePath/B.Bermejo%20ret.St.Domingo%20Silos%20mort%20del%20Sant%204132.jpg
Death of Santo Domingo de Silos,1479-01-01T00:00:00Z,Renaissance,religious art,http://commons.wikimedia.org/wiki/Special:FilePath/B.Bermejo%20ret.St.Domingo%20Silos%20mort%20del%20Sant%204132.jpg
Altarpiece of Mare de Déu de la Misericordia by Bartolomé Bermejo,1479-01-01T00:00:00Z,Renaissance,religious art,http://commons.wikimedia.org/wiki/Special:FilePath/B.Bermejo%20ret.Misericordia%20hipotesi%204156.jpg
Altarpiece of Mare de Déu de la Misericordia by Bartolomé Bermejo,1479-01-01T00:00:00Z,Renaissance,religious art,http://commons.wikimedia.org/wiki/Special:FilePath/B.Bermejo%20ret.Misericordia%20hipotesi%204156.jpg
Q61962938,1479-01-01T00:00:00Z,Renaissance,religious art,http://commons.wikimedia.org/wiki/Special:FilePath/B.Bermejo%20ret.Misericordia%20Marededeu%204136.jpg
Q61962938,1479-01-01T00:00:00Z,Renaissance,religious art,http://commons.wikimedia.org/wiki/Special:FilePath/B.Bermejo%20ret.Misericordia%20Marededeu%204136.jpg
Q61963030,1479-01-01T00:00:00Z,Renaissance,religious art,http://commons.wikimedia.org/wiki/Special:FilePath/B.Bermejo%20ret.Misericordia%20st.Vicen%C3%A7-st.Lloren%C3%A7%204140.jpg
Q61963030,1479-01-01T00:00:00Z,Renaissance,religious art,http://commons.wikimedia.org/wiki/Special:FilePath/B.Bermejo%20ret.Misericordia%20st.Vicen%C3%A7-st.Lloren%C3%A7%204140.jpg
Q61963077,1479-01-01T00:00:00Z,Renaissance,religious art,http://commons.wikimedia.org/wiki/Special:FilePath/B.Bermejo%20ret.Misericordia%20Miracle%20Neu%204138.jpg
